TICK  255 - RM1<-memD[77] | RM1=   4/0x4
TICK  257 @ 0x0B802000 -  PUSH SingleReg; PC++ | PC=220/0xDC
TICK  258 - SP=SP-4 | SP=404/0x194
TICK  259 - RF1=SP | SP=404/0x194
TICK  260 - memD[0x194]<-RM1 | memD[0x194]=0x4
TICK  261 - memD[0x195]<-RM1 | memD[0x195]=0x0
TICK  262 - memD[0x196]<-RM1 | memD[0x196]=0x0
TICK  263 - memD[0x197]<-RM1 | memD[0x197]=0x0
TICK  264 @ 0x04240000 -  MOV MvImmReg; PC++ | PC=221/0xDD
TICK  265 - RM2<-#0; PC++ | SP=404/0x194
TICK  266 @ 0x0F820000 -  POP SingleReg; PC++ | PC=223/0xDF
TICK  267 - RF1<-SP | RF1=404/0x194
TICK  268 - RM1<-memD[194] | RM1=4/0x4
TICK  269 - RM1<-memD[195] | RM1=4/0x4
TICK  270 - RM1<-memD[196] | RM1=4/0x4
TICK  271 - RM1<-memD[197] | RM1=   4/0x4
TICK  272 - SP=SP+4 | SP=404/0x194
TICK  273 @ 0x51C02400 -  CMP RegReg; PC++ | PC=224/0xE0
TICK  274 - CMP RM1, RM2 | N=0,Z=0,V=0,C=0; RM1=4/0x4 RM2=0/0x0
TICK  275 @ 0xC3000000 -  JE JAbsAddr; PC++ | PC=225/0xE1
TICK  276 - RF2<-memI[0xE1]; PC++ | RF2=239/0xEF
TICK  277 - no jump | PC=226/0xE2; N=0,Z=0,V=0,C=0
TICK  278 @ 0x04C20000 -  MOV MvMemReg; PC++ | PC=227/0xE3
TICK  279 - RF1<-memI[227], PC++ | RF1=120/0x78
TICK  280 - RM1<-memD[78] | RM1=1/0x1
TICK  281 - RM1<-memD[79] | RM1=1/0x1
TICK  282 - RM1<-memD[7A] | RM1=1/0x1
TICK  283 - RM1<-memD[7B] | RM1=   1/0x1
TICK  285 @ 0x0B802000 -  PUSH SingleReg; PC++ | PC=229/0xE5
TICK  286 - SP=SP-4 | SP=404/0x194
TICK  287 - RF1=SP | SP=404/0x194
TICK  288 - memD[0x194]<-RM1 | memD[0x194]=0x1
TICK  289 - memD[0x195]<-RM1 | memD[0x195]=0x0
TICK  290 - memD[0x196]<-RM1 | memD[0x196]=0x0
TICK  291 - memD[0x197]<-RM1 | memD[0x197]=0x0
TICK  292 @ 0x04C40000 -  MOV MvMemReg; PC++ | PC=230/0xE6
TICK  293 - RF1<-memI[230], PC++ | RF1=116/0x74
TICK  294 - RM2<-memD[74] | RM2=4/0x4
TICK  295 - RM2<-memD[75] | RM2=4/0x4
TICK  296 - RM2<-memD[76] | RM2=4/0x4
TICK  297 - RM2<-memD[77] | RM2=   4/0x4
TICK  299 @ 0x0F820000 -  POP SingleReg; PC++ | PC=232/0xE8
TICK  300 - RF1<-SP | RF1=404/0x194
TICK  301 - RM1<-memD[194] | RM1=1/0x1
TICK  302 - RM1<-memD[195] | RM1=1/0x1
TICK  303 - RM1<-memD[196] | RM1=1/0x1
TICK  304 - RM1<-memD[197] | RM1=   1/0x1
TICK  305 - SP=SP+4 | SP=404/0x194
TICK  306 @ 0x51C02400 -  CMP RegReg; PC++ | PC=233/0xE9
TICK  307 - CMP RM1, RM2 | N=1,Z=0,V=0,C=1; RM1=1/0x1 RM2=4/0x4
TICK  308 @ 0xCF000000 -  JL JAbsAddr; PC++ | PC=234/0xEA
TICK  309 - RF2<-memI[0xEA]; PC++ | RF2=239/0xEF
TICK  310 - JL taken → PC<-RF2 | PC=239/0xEF
TICK  311 @ 0x93E00000 -  IRet NoOperands; PC++ | PC=240/0xF0
TICK  312 - restore register values | PC=2/0x2
------------Exiting interruption------------
TICK  313 @ 0x04C20000 -  MOV MvMemReg; PC++ | PC=3/0x3
TICK  314 - RF1<-memI[3], PC++ | RF1=108/0x6C
TICK  315 - RM1<-memD[6C] | RM1=1/0x1
TICK  316 - RM1<-memD[6D] | RM1=1/0x1
TICK  317 - RM1<-memD[6E] | RM1=1/0x1
TICK  318 - RM1<-memD[6F] | RM1=   1/0x1
TICK  320 @ 0x0B802000 -  PUSH SingleReg; PC++ | PC=5/0x5
TICK  321 - SP=SP-4 | SP=404/0x194
TICK  322 - RF1=SP | SP=404/0x194
TICK  323 - memD[0x194]<-RM1 | memD[0x194]=0x1
TICK  324 - memD[0x195]<-RM1 | memD[0x195]=0x0
TICK  325 - memD[0x196]<-RM1 | memD[0x196]=0x0
TICK  326 - memD[0x197]<-RM1 | memD[0x197]=0x0
TICK  327 @ 0x04240000 -  MOV MvImmReg; PC++ | PC=6/0x6
TICK  328 - RM2<-#1; PC++ | SP=404/0x194
TICK  329 @ 0x0F820000 -  POP SingleReg; PC++ | PC=8/0x8
TICK  330 - RF1<-SP | RF1=404/0x194
TICK  331 - RM1<-memD[194] | RM1=1/0x1
TICK  332 - RM1<-memD[195] | RM1=1/0x1
TICK  333 - RM1<-memD[196] | RM1=1/0x1
TICK  334 - RM1<-memD[197] | RM1=   1/0x1
TICK  335 - SP=SP+4 | SP=404/0x194
TICK  336 @ 0x51C02400 -  CMP RegReg; PC++ | PC=9/0x9
TICK  337 - CMP RM1, RM2 | N=0,Z=1,V=0,C=0; RM1=1/0x1 RM2=1/0x1
TICK  338 @ 0xC7000000 -  JNE JAbsAddr; PC++ | PC=10/0xA
TICK  339 - RF2<-memI[0xA]; PC++ | RF2=13/0xD
TICK  340 - JNE not taken | PC=11/0xB; N=0,Z=1,V=0,C=0
TICK  341 @ 0x83000000 -  JMP JAbsAddr; PC++ | PC=12/0xC
TICK  342 - PC<-memI[0x2]| PC=2/0x2
TICK  343 @ 0x04C20000 -  MOV MvMemReg; PC++ | PC=3/0x3
TICK  344 - RF1<-memI[3], PC++ | RF1=108/0x6C
TICK  345 - RM1<-memD[6C] | RM1=1/0x1
TICK  346 - RM1<-memD[6D] | RM1=1/0x1
TICK  347 - RM1<-memD[6E] | RM1=1/0x1
TICK  348 - RM1<-memD[6F] | RM1=   1/0x1
TICK  350 @ 0x0B802000 -  PUSH SingleReg; PC++ | PC=5/0x5
TICK  351 - SP=SP-4 | SP=404/0x194
TICK  352 - RF1=SP | SP=404/0x194
TICK  353 - memD[0x194]<-RM1 | memD[0x194]=0x1
TICK  354 - memD[0x195]<-RM1 | memD[0x195]=0x0
TICK  355 - memD[0x196]<-RM1 | memD[0x196]=0x0
TICK  356 - memD[0x197]<-RM1 | memD[0x197]=0x0
TICK  357 @ 0x04240000 -  MOV MvImmReg; PC++ | PC=6/0x6
TICK  358 - RM2<-#1; PC++ | SP=404/0x194
TICK  359 @ 0x0F820000 -  POP SingleReg; PC++ | PC=8/0x8
TICK  360 - RF1<-SP | RF1=404/0x194
TICK  361 - RM1<-memD[194] | RM1=1/0x1
TICK  362 - RM1<-memD[195] | RM1=1/0x1
TICK  363 - RM1<-memD[196] | RM1=1/0x1
TICK  364 - RM1<-memD[197] | RM1=   1/0x1
TICK  365 - SP=SP+4 | SP=404/0x194
TICK  366 @ 0x51C02400 -  CMP RegReg; PC++ | PC=9/0x9
TICK  367 - CMP RM1, RM2 | N=0,Z=1,V=0,C=0; RM1=1/0x1 RM2=1/0x1
TICK  368 @ 0xC7000000 -  JNE JAbsAddr; PC++ | PC=10/0xA
TICK  369 - RF2<-memI[0xA]; PC++ | RF2=13/0xD
TICK  370 - JNE not taken | PC=11/0xB; N=0,Z=1,V=0,C=0
TICK  371 @ 0x83000000 -  JMP JAbsAddr; PC++ | PC=12/0xC
TICK  372 - PC<-memI[0x2]| PC=2/0x2
TICK  373 @ 0x04C20000 -  MOV MvMemReg; PC++ | PC=3/0x3
TICK  374 - RF1<-memI[3], PC++ | RF1=108/0x6C
TICK  375 - RM1<-memD[6C] | RM1=1/0x1
TICK  376 - RM1<-memD[6D] | RM1=1/0x1
TICK  377 - RM1<-memD[6E] | RM1=1/0x1
TICK  378 - RM1<-memD[6F] | RM1=   1/0x1
TICK  380 @ 0x0B802000 -  PUSH SingleReg; PC++ | PC=5/0x5
TICK  381 - SP=SP-4 | SP=404/0x194
TICK  382 - RF1=SP | SP=404/0x194
TICK  383 - memD[0x194]<-RM1 | memD[0x194]=0x1
TICK  384 - memD[0x195]<-RM1 | memD[0x195]=0x0
TICK  385 - memD[0x196]<-RM1 | memD[0x196]=0x0
TICK  386 - memD[0x197]<-RM1 | memD[0x197]=0x0
TICK  387 @ 0x04240000 -  MOV MvImmReg; PC++ | PC=6/0x6
TICK  388 - RM2<-#1; PC++ | SP=404/0x194
