TICK  251 @ 0x0B802000 -  PUSH SingleReg; PC++ | PC=5/0x5
TICK  252 - SP=SP-4 | SP=264/0x108
TICK  253 - RF1=SP | SP=264/0x108
TICK  254 - memD[0x108]<-RM1 | memD[0x108]=0x1
TICK  255 - memD[0x109]<-RM1 | memD[0x109]=0x0
TICK  256 - memD[0x10A]<-RM1 | memD[0x10A]=0x0
TICK  257 - memD[0x10B]<-RM1 | memD[0x10B]=0x0
TICK  258 @ 0x04240000 -  MOV MvImmReg; PC++ | PC=6/0x6
TICK  259 - RM2<-#1; PC++ | SP=264/0x108
TICK  260 @ 0x0F820000 -  POP SingleReg; PC++ | PC=8/0x8
TICK  261 - RF1<-SP | RF1=264/0x108
TICK  262 - RM1<-memD[108] | RM1=1/0x1
TICK  263 - RM1<-memD[109] | RM1=1/0x1
TICK  264 - RM1<-memD[10A] | RM1=1/0x1
TICK  265 - RM1<-memD[10B] | RM1=   1/0x1
TICK  266 - SP=SP+4 | SP=264/0x108
TICK  267 @ 0x51C02400 -  CMP RegReg; PC++ | PC=9/0x9
TICK  268 - CMP RM1, RM2 | N=0,Z=1,V=0,C=0; RM1=1/0x1 RM2=1/0x1
TICK  269 @ 0xC7000000 -  JNE JAbsAddr; PC++ | PC=10/0xA
TICK  270 - RF2<-memI[0xA]; PC++ | RF2=13/0xD
TICK  271 - JNE not taken | PC=11/0xB; N=0,Z=1,V=0,C=0
TICK  272 @ 0x83000000 -  JMP JAbsAddr; PC++ | PC=12/0xC
TICK  273 - PC<-memI[0x2]| PC=2/0x2
TICK  274 @ 0x04220000 -  MOV MvImmReg; PC++ | PC=3/0x3
TICK  275 - RM1<-#1; PC++ | SP=268/0x10C
TICK  276 @ 0x0B802000 -  PUSH SingleReg; PC++ | PC=5/0x5
TICK  277 - SP=SP-4 | SP=264/0x108
TICK  278 - RF1=SP | SP=264/0x108
TICK  279 - memD[0x108]<-RM1 | memD[0x108]=0x1
TICK  280 - memD[0x109]<-RM1 | memD[0x109]=0x0
TICK  281 - memD[0x10A]<-RM1 | memD[0x10A]=0x0
TICK  282 - memD[0x10B]<-RM1 | memD[0x10B]=0x0
TICK  283 @ 0x04240000 -  MOV MvImmReg; PC++ | PC=6/0x6
TICK  284 - RM2<-#1; PC++ | SP=264/0x108
TICK  285 @ 0x0F820000 -  POP SingleReg; PC++ | PC=8/0x8
TICK  286 - RF1<-SP | RF1=264/0x108
TICK  287 - RM1<-memD[108] | RM1=1/0x1
TICK  288 - RM1<-memD[109] | RM1=1/0x1
TICK  289 - RM1<-memD[10A] | RM1=1/0x1
TICK  290 - RM1<-memD[10B] | RM1=   1/0x1
TICK  291 - SP=SP+4 | SP=264/0x108
TICK  292 @ 0x51C02400 -  CMP RegReg; PC++ | PC=9/0x9
TICK  293 - CMP RM1, RM2 | N=0,Z=1,V=0,C=0; RM1=1/0x1 RM2=1/0x1
TICK  294 @ 0xC7000000 -  JNE JAbsAddr; PC++ | PC=10/0xA
TICK  295 - RF2<-memI[0xA]; PC++ | RF2=13/0xD
TICK  296 - JNE not taken | PC=11/0xB; N=0,Z=1,V=0,C=0
TICK  297 @ 0x83000000 -  JMP JAbsAddr; PC++ | PC=12/0xC
TICK  298 - PC<-memI[0x2]| PC=2/0x2
TICK  299 @ 0x04220000 -  MOV MvImmReg; PC++ | PC=3/0x3
TICK  300 - RM1<-#1; PC++ | SP=268/0x10C
TICK  301 @ 0x0B802000 -  PUSH SingleReg; PC++ | PC=5/0x5
TICK  302 - SP=SP-4 | SP=264/0x108
